TIMESTAMP,Apple,Microsoft,NVIDIA,Amazon,Google,SAUDI ARABIAN OIL CO.,Meta,Berkshire Hathaway Inc.
3/24/2025 12:49,218.27,391.26,117.7,196.21,166.25,6.97,596.25,781.68
3/25/2025 16:42,220.73,393.08,121.41,203.26,169.93,7.11,618.85,789.649
3/26/2025 16:43,223.75,395.16,120.69,205.71,172.79,7.17,626.31,792.966
3/27/2025 14:11,221.53,389.97,113.76,201.13,167.14,7.2,610.98,798.962
3/28/2025 13:17,223.85,390.58,111.43,201.36,164.08,7.22,602.58,801.95
4/1/2025 0:57,219.57,370.71,105.82,188.5,155.38,7.22,570.93,795.562
4/1/2025 16:46,222.13,375.39,108.38,190.26,156.23,7.22,576.36,798.441
4/2/2025 16:45,223.19,382.19,110.15,192.17,158.88,7.22,586,800.3
4/3/2025 15:53,223.89,382.14,110.42,196.01,158.86,7.17,583.93,806.684
4/4/2025 15:41,203.19,373.11,101.8,178.41,152.63,7.1,531.62,794.514
4/7/2025 0:24,188.38,359.84,94.31,171,147.74,6.72,504.73,742.54
4/7/2025 17:00,188.38,359.84,94.31,171,147.74,6.82,504.73,742.54
4/8/2025 16:46,181.46,357.86,97.64,175.26,149.24,6.84,516.25,737
4/9/2025 15:36,172.42,354.56,96.3,170.66,146.58,6.87,510.45,739.1
4/10/2025 16:45,198.85,390.49,114.33,191.1,161.06,6.98,585.77,778.421
4/11/2025 14:43,190.42,381.35,107.57,181.22,155.37,7.02,546.29,774
4/14/2025 16:48,198.15,388.45,110.93,184.87,159.4,6.99,543.57,784
4/15/2025 23:57,203.06,388.16,113.16,180.49,159.01,6.97,530.35,797.5
4/16/2025 16:20,202.14,385.73,112.2,179.59,158.68,6.91,521.52,792.5
4/17/2025 16:24,194.27,371.61,104.49,174.33,155.5,6.91,502.31,774.261
4/18/2025 16:00,196.98,367.78,101.49,172.61,153.36,6.87,501.48,788.32
4/22/2025 17:00,193.16,359.12,96.91,167.32,149.86,6.89,484.66,760.489
4/23/2025 9:18,199.74,366.82,98.89,173.18,153.9,6.91,500.28,780
4/25/2025 0:09,206.15,384.1,105.86,185.21,160.74,6.97,530.29,795.5
4/28/2025 16:48,209.28,391.85,111.01,188.99,163.85,6.94,547.27,795.76
4/30/2025 21:14,207.84,386.9,105.02,180.29,157.84,6.84,533,788.241
5/2/2025 17:01,213.32,425.4,111.61,190.2,162.79,6.8,572.21,795.4
5/5/2025 15:12,205.35,435.28,114.5,189.98,165.81,6.71,597.02,809.35
5/6/2025 16:19,198.89,436.17,113.82,186.35,166.05,6.77,599.27,769.96
